epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.48228,1.50305,0.33333,1,1.47754,5.555e-05,5.555e-05,5.555e-05
2,5.66292,1.30688,0.58333,1,1.12012,0.00011979,0.00011979,0.00011979
3,6.84504,0.95977,0.79167,1,0.80762,0.000181391,0.000181391,0.000181391
4,7.973,0.72175,0.79167,1,0.65088,0.000240352,0.000240352,0.000240352
5,9.25547,0.58554,0.79167,1,0.50342,0.000296673,0.000296673,0.000296673
6,10.5874,0.4326,0.875,1,0.35718,0.000350354,0.000350354,0.000350354
7,11.8427,0.30645,0.875,1,0.3064,0.000401395,0.000401395,0.000401395
8,13.3497,0.27095,0.875,1,0.2666,0.000449797,0.000449797,0.000449797
9,14.7177,0.19532,0.95833,1,0.21521,0.000495559,0.000495559,0.000495559
10,16.0897,0.14573,0.95833,1,0.15515,0.000538682,0.000538682,0.000538682
11,17.4321,0.1439,0.95833,1,0.172,0.000579164,0.000579164,0.000579164
12,18.8881,0.09718,0.95833,1,0.21887,0.000617007,0.000617007,0.000617007
13,20.229,0.0746,0.91667,1,0.34082,0.00065221,0.00065221,0.00065221
14,21.3332,0.04916,0.875,1,0.47388,0.000684774,0.000684774,0.000684774
15,22.1925,0.05621,0.875,1,0.54736,0.000714697,0.000714697,0.000714697
16,23.0738,0.08109,0.875,1,0.46533,0.000741981,0.000741981,0.000741981
17,23.9651,0.03385,0.91667,1,0.40405,0.000759035,0.000759035,0.000759035
18,24.9065,0.0579,0.91667,1,0.31982,0.000737037,0.000737037,0.000737037
19,26.1038,0.02305,0.91667,1,0.34937,0.00071504,0.00071504,0.00071504
20,27.2666,0.08495,0.91667,1,0.37744,0.000693042,0.000693042,0.000693042
21,28.4627,0.08586,0.83333,1,0.38721,0.000671044,0.000671044,0.000671044
22,29.8775,0.0653,0.83333,1,0.98145,0.000649046,0.000649046,0.000649046
23,31.0582,0.0298,0.83333,1,1.22363,0.000627048,0.000627048,0.000627048
24,32.3413,0.07064,0.875,1,0.98535,0.000605051,0.000605051,0.000605051
25,33.6504,0.02384,0.875,1,0.8877,0.000583053,0.000583053,0.000583053
26,35.2561,0.01609,0.875,1,0.51123,0.000561055,0.000561055,0.000561055
27,37.0862,0.01046,0.91667,1,0.39355,0.000539057,0.000539057,0.000539057
28,38.7673,0.08023,0.95833,1,0.27051,0.000517059,0.000517059,0.000517059
29,40.2158,0.0228,0.95833,1,0.23499,0.000495062,0.000495062,0.000495062
30,41.3365,0.04523,0.95833,1,0.20715,0.000473064,0.000473064,0.000473064
31,42.417,0.02649,0.95833,1,0.2113,0.000451066,0.000451066,0.000451066
32,43.3057,0.03893,0.95833,1,0.22412,0.000429068,0.000429068,0.000429068
33,44.5138,0.05005,0.95833,1,0.32544,0.00040707,0.00040707,0.00040707
34,45.9219,0.01701,0.83333,1,0.66406,0.000385073,0.000385073,0.000385073
35,47.1164,0.04644,0.83333,1,0.8623,0.000363075,0.000363075,0.000363075
36,48.4899,0.03624,0.83333,1,1.37598,0.000341077,0.000341077,0.000341077
37,49.8499,0.0313,0.83333,1,1.43652,0.000319079,0.000319079,0.000319079
38,51.1722,0.03748,0.83333,1,1.65527,0.000297081,0.000297081,0.000297081
39,52.4952,0.04537,0.875,1,1.64648,0.000275084,0.000275084,0.000275084
40,53.6779,0.03573,0.875,1,1.62988,0.000253086,0.000253086,0.000253086
41,55.0582,0.04792,0.875,1,1.71094,0.000231088,0.000231088,0.000231088
42,56.7808,0.01536,0.875,1,1.6748,0.00020909,0.00020909,0.00020909
43,58.0565,0.01734,0.875,1,1.64746,0.000187092,0.000187092,0.000187092
44,59.3626,0.02981,0.875,1,1.67383,0.000165095,0.000165095,0.000165095
45,60.5283,0.06912,0.875,1,1.64648,0.000143097,0.000143097,0.000143097
46,61.8917,0.03704,0.875,1,1.33984,0.000121099,0.000121099,0.000121099
47,63.2849,0.07895,0.875,1,1.25586,9.91012e-05,9.91012e-05,9.91012e-05
48,64.916,0.02498,0.875,1,1.12012,7.71034e-05,7.71034e-05,7.71034e-05
49,66.3212,0.01298,0.875,1,0.99609,5.51056e-05,5.51056e-05,5.51056e-05
50,67.8681,0.01966,0.875,1,1.02539,3.31078e-05,3.31078e-05,3.31078e-05
